town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Ortum,134.99,144.89,150.39,159.39,158.9,158.9,178.88,177.88,176.88,176.88,176.88,176.88,179.59,,194.04,168.73,181.44,131.03,130.67
Chebara,134.5,144.4,149.9,158.9,158.89,158.89,178.87,177.87,176.87,176.87,176.87,176.87,180.66,,194.03,168.8,181.42,130.7,131.03
Lokiriama,134.49,144.39,149.89,158.89,161.88,161.88,181.85,180.85,179.85,179.85,179.85,179.85,177.9,,197.24,169.51,184.41,131.33,130.7
Loima,137.48,147.38,152.88,161.88,162.98,162.98,182.95,181.95,180.95,180.95,180.95,180.95,192.35,,198.42,168.72,185.51,132.95,131.33
Gilgil,138.58,148.48,153.98,162.98,158.97,158.97,178.95,177.95,176.95,176.95,176.95,176.95,180.92,,194.11,,181.5,131.75,132.95
Meru,134.57,144.47,149.97,158.97,159.38,159.38,179.34,178.34,177.34,177.34,177.34,177.34,,,194.54,169.03,181.9,131.88,131.75
Matunda,134.98,144.87,150.38,159.38,159.86,159.86,179.83,178.83,177.83,177.83,177.83,177.83,179.34,,195.08,169.5,182.39,,131.88
Kabiyet,135.46,145.36,150.86,159.86,160.95,160.95,180.92,179.92,178.92,178.92,178.92,178.92,,,196.24,171.07,183.48,135.9,
Kesses,136.55,146.45,151.95,160.95,,,,,,,,,187.15,,,,,133.3,135.9
Voi,,,,,,,,,,,,,179.49,,,,,135.07,133.3
Kwanza,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,,,194.53,169.47,181.88,133.67,135.07
Maua,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,182.85,,194.53,169.47,181.88,137.95,133.67
Narok,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,,,194.53,169.47,181.88,132.95,137.95
Lamu,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,,,194.53,169.47,181.88,131.3,132.95
Nanyuki,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,182.4,,194.53,169.47,181.88,137.08,131.3
Garissa,135.14,145.04,150.54,159.54,159.54,159.54,179.52,178.52,177.52,177.52,177.52,177.52,,,194.54,169.48,181.89,130.32,137.08
Modogashe,135.55,145.45,150.95,159.95,159.95,159.95,179.93,178.93,177.93,177.93,177.93,177.93,186.3,,194.98,169.84,182.3,130.13,130.32
Serem,135.49,145.39,150.89,159.89,159.89,159.89,179.86,178.86,177.86,177.86,177.86,177.86,178.57,,194.92,,182.24,130.19,130.13
Isebania,136.12,146.02,151.52,160.52,160.52,160.52,180.5,179.5,178.5,178.5,178.5,178.5,,,195.6,170.24,182.88,130.08,130.19
Hola,135.9,145.8,151.3,160.3,160.3,160.3,180.26,179.26,178.26,178.26,178.26,178.26,179.52,,195.34,169.48,182.65,138.19,130.08
Kiplombe,135.14,145.04,150.54,159.54,159.54,159.54,179.52,178.52,177.52,177.52,177.52,177.52,178.65,,194.54,169.46,181.89,137.01,138.19
Moiben,135.12,145.02,150.52,159.52,159.52,159.52,179.49,178.49,177.49,177.49,177.49,177.49,176.98,,194.52,169.42,181.87,133.42,137.01
Kerugoya,135.08,144.98,150.48,159.48,159.48,159.48,179.45,178.45,177.45,177.45,177.45,177.45,188.74,178.62,194.47,169.52,181.83,134.99,133.42
Kibish,135.17,145.07,150.57,159.57,159.57,159.57,179.54,178.54,177.54,177.54,177.54,177.54,,178.58,194.57,169.98,181.92,132.2,134.99
